Satisfaction,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Food and drink,Gate location,Inflight entertainment,Ease of Online booking,Baggage handling,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes
dissatisfied,Male,Loyal Customer,64,Personal Travel,Eco,1124,3,3,3,3,4,3,4,9,6
satisfied,Female,Loyal Customer,18,Personal Travel,Eco,1424,1,1,1,5,5,5,5,1,0
dissatisfied,Male,Loyal Customer,25,Personal Travel,Eco,852,3,3,3,3,2,3,2,92,96
dissatisfied,Male,Loyal Customer,44,Personal Travel,Eco,1420,3,3,3,3,5,4,5,66,54
satisfied,Female,Loyal Customer,57,Personal Travel,Eco,81,1,1,1,4,5,5,4,11,0
satisfied,Female,Loyal Customer,43,Personal Travel,Eco,52,4,4,4,4,5,5,5,0,0
dissatisfied,Male,Loyal Customer,64,Personal Travel,Eco,2023,3,3,3,3,4,3,4,15,5
dissatisfied,Female,Loyal Customer,16,Personal Travel,Eco,1889,3,3,3,3,4,3,4,128,131
satisfied,Female,Loyal Customer,53,Personal Travel,Eco,70,5,5,5,5,5,5,5,2,65
satisfied,Female,Loyal Customer,45,Personal Travel,Eco,96,5,1,1,1,5,5,5,41,33
dissatisfied,Male,Loyal Customer,40,Personal Travel,Eco,1623,3,3,3,3,1,3,1,0,0
dissatisfied,Male,Loyal Customer,53,Personal Travel,Eco,1121,3,3,3,3,5,4,5,2,0
dissatisfied,Male,Loyal Customer,49,Personal Travel,Eco,1627,3,3,3,3,3,2,3,0,10
dissatisfied,Male,Loyal Customer,37,Personal Travel,Eco,871,3,3,3,3,1,3,1,0,0
satisfied,Female,Loyal Customer,37,Personal Travel,Eco,1048,5,4,4,3,5,5,4,6,4
dissatisfied,Male,Loyal Customer,26,Personal Travel,Eco,1875,3,3,3,3,4,3,4,98,97
satisfied,Female,Loyal Customer,38,Personal Travel,Eco,1029,4,4,4,4,5,5,4,0,0
satisfied,Female,Loyal Customer,53,Personal Travel,Eco,102,1,1,1,5,5,5,5,0,0
satisfied,Female,Loyal Customer,36,Personal Travel,Eco,1536,5,5,5,4,5,5,4,0,0
dissatisfied,Male,Loyal Customer,66,Personal Travel,Eco,921,3,3,3,3,4,4,4,0,2
satisfied,Female,Loyal Customer,35,Personal Travel,Eco,1415,3,4,3,1,5,5,4,0,0
satisfied,Female,Loyal Customer,48,Personal Travel,Eco,408,,5,4,5,5,5,5,103,104
dissatisfied,Male,Loyal Customer,35,Personal Travel,Business,81,3,3,3,4,4,4,4,0,0
dissatisfied,Male,Loyal Customer,14,Personal Travel,Eco,1553,3,3,3,3,4,4,4,7,0
dissatisfied,Male,Loyal Customer,22,Personal Travel,Eco,1232,3,3,3,3,3,3,3,0,0
satisfied,Female,Loyal Customer,49,Personal Travel,Business,3340,2,2,2,4,5,5,4,0,4
satisfied,Female,Loyal Customer,46,Personal Travel,Eco,2950,3,3,3,5,5,5,5,3,11
dissatisfied,Male,Loyal Customer,10,Personal Travel,Eco,3809,3,3,4,5,2,4,5,0,0
dissatisfied,Male,Loyal Customer,58,Personal Travel,Eco,4290,3,3,4,3,3,3,3,5,32
dissatisfied,Male,Loyal Customer,29,Personal Travel,Eco,4374,3,3,4,3,1,3,3,0,0
satisfied,Female,Loyal Customer,51,Personal Travel,Eco,2635,5,5,5,5,5,2,5,0,0
dissatisfied,Male,Loyal Customer,37,Personal Travel,Business,4147,3,3,4,2,4,4,4,148,182
dissatisfied,Male,Loyal Customer,12,Personal Travel,Eco,3728,3,3,4,4,4,3,4,0,0
satisfied,Female,Loyal Customer,53,Personal Travel,Eco,2558,1,1,1,4,5,5,4,0,8
satisfied,Female,Loyal Customer,8,Personal Travel,Business,3356,3,4,3,4,5,5,3,0,0
dissatisfied,Male,Loyal Customer,25,Personal Travel,Eco,3490,3,3,4,3,4,4,4,0,18
satisfied,Female,Loyal Customer,41,Personal Travel,Eco,3689,2,2,2,4,5,5,5,36,36
satisfied,Female,Loyal Customer,69,Personal Travel,Eco,2513,2,2,2,4,5,5,5,9,4
dissatisfied,Male,Loyal Customer,20,Personal Travel,Business,3573,3,3,4,5,3,4,5,19,16
dissatisfied,Male,Loyal Customer,55,Personal Travel,Eco,4385,3,3,4,2,1,4,4,0,0
satisfied,Female,Loyal Customer,67,Personal Travel,Eco,2457,4,4,4,4,5,5,3,6,2
satisfied,Female,Loyal Customer,45,Personal Travel,Eco,2419,3,3,3,4,5,5,5,4,4
satisfied,Female,Loyal Customer,21,Personal Travel,Eco,3994,5,5,5,5,5,5,4,0,0
dissatisfied,Male,Loyal Customer,22,Personal Travel,Eco,3993,3,3,4,3,4,3,4,0,0
dissatisfied,Male,Loyal Customer,12,Personal Travel,Eco,3470,3,3,4,3,4,4,4,1,0
satisfied,Female,Loyal Customer,46,Personal Travel,Eco,2308,4,4,4,5,5,5,5,0,0
dissatisfied,Male,Loyal Customer,67,Personal Travel,Eco,3771,3,3,4,4,4,4,4,0,5
satisfied,Female,Loyal Customer,60,Personal Travel,Eco,2259,2,2,2,5,5,5,5,0,0
satisfied,Female,Loyal Customer,48,Personal Travel,Eco,2220,2,2,2,5,5,3,5,3,0
dissatisfied,Male,Loyal Customer,26,Personal Travel,Eco,3353,3,3,4,3,3,3,3,101,94
satisfied,Female,Loyal Customer,8,Personal Travel,Eco,3479,1,1,1,5,5,5,5,80,64
dissatisfied,Male,Loyal Customer,17,Personal Travel,Eco,3375,3,3,4,3,3,3,3,5,6
dissatisfied,Male,Loyal Customer,32,Personal Travel,Eco,3063,3,3,4,3,5,3,5,1,23
dissatisfied,Male,Loyal Customer,64,Personal Travel,Eco,2889,3,3,4,3,5,4,5,6,16
satisfied,Female,Loyal Customer,18,Personal Travel,Eco,3022,1,1,1,5,5,5,3,6,7
satisfied,Female,Loyal Customer,34,Personal Travel,Eco,3351,2,2,2,4,5,5,5,104,104
satisfied,Female,Loyal Customer,58,Personal Travel,Eco,1860,4,4,4,4,5,5,5,0,0
satisfied,Female,Loyal Customer,20,Personal Travel,Business,3269,1,4,1,4,5,5,4,3,0
satisfied,Female,Loyal Customer,43,Personal Travel,Eco,1815,2,2,2,4,5,5,3,7,0
satisfied,Female,Loyal Customer,19,Personal Travel,Eco,2905,5,5,5,4,5,5,1,33,20
satisfied,Female,Loyal Customer,45,Personal Travel,Eco,1794,5,5,5,5,5,5,1,0,0
satisfied,Female,Loyal Customer,63,Personal Travel,Eco,1697,5,5,5,1,5,5,2,0,4
dissatisfied,Male,Loyal Customer,70,Personal Travel,Eco,2736,3,3,4,3,4,4,4,0,6
dissatisfied,Male,Loyal Customer,22,Personal Travel,Eco,2901,3,3,4,3,4,4,4,30,7
dissatisfied,Male,Loyal Customer,18,Personal Travel,Eco,3343,3,3,4,3,4,3,4,5,0
dissatisfied,Male,Loyal Customer,10,Personal Travel,Eco,2813,3,3,4,3,4,4,4,33,31
dissatisfied,Male,Loyal Customer,19,Personal Travel,Eco,3119,3,3,4,3,3,4,3,33,39
dissatisfied,Male,Loyal Customer,68,Personal Travel,Business,1650,3,3,4,3,4,4,4,1,0
dissatisfied,Male,Loyal Customer,7,Personal Travel,Eco,2661,3,3,4,3,3,3,3,0,0
dissatisfied,Male,Loyal Customer,21,Personal Travel,Eco,2687,3,3,4,3,3,4,3,3,0
satisfied,Female,Loyal Customer,50,Personal Travel,Eco,1625,5,1,1,5,5,5,5,0,0
satisfied,Female,Loyal Customer,43,Personal Travel,Eco,1586,5,1,1,4,5,5,5,46,35
satisfied,Female,Loyal Customer,51,Personal Travel,Eco,1526,5,2,4,5,5,5,4,0,0
dissatisfied,Male,Loyal Customer,23,Personal Travel,Eco,2823,3,3,4,3,1,4,1,0,0
satisfied,Female,Loyal Customer,56,Personal Travel,Eco,1539,3,3,3,4,5,5,3,0,0
dissatisfied,Male,Loyal Customer,62,Personal Travel,Eco,2902,3,3,4,3,2,3,2,0,0
dissatisfied,Male,Loyal Customer,61,Personal Travel,Eco,3271,3,3,4,3,3,4,3,0,0
dissatisfied,Male,Loyal Customer,39,Personal Travel,Business,1514,3,3,4,4,4,4,2,12,36
satisfied,Female,Loyal Customer,45,Personal Travel,Eco,1508,3,3,3,4,5,5,3,0,0
satisfied,Female,Loyal Customer,31,Personal Travel,Eco,2788,5,5,5,5,5,5,5,8,9
dissatisfied,Male,Loyal Customer,21,Personal Travel,Business,2845,3,3,4,3,5,4,5,20,36
dissatisfied,Male,Loyal Customer,15,Personal Travel,Eco,2345,3,3,4,3,5,2,5,0,0
dissatisfied,Male,Loyal Customer,19,Personal Travel,Eco,3111,3,3,4,3,2,2,2,0,0
dissatisfied,Male,Loyal Customer,69,Personal Travel,Eco,2621,3,3,4,3,3,4,3,0,0
satisfied,Female,Loyal Customer,19,Personal Travel,Eco,2504,4,2,4,5,5,4,5,0,0
dissatisfied,Male,Loyal Customer,13,Personal Travel,Eco,2926,3,3,4,3,5,4,5,0,0
dissatisfied,Male,Loyal Customer,26,Personal Travel,Eco,3009,3,3,4,3,2,4,2,15,3
dissatisfied,Male,Loyal Customer,39,Personal Travel,Eco,2364,3,3,4,3,5,4,5,1,18
satisfied,Female,Loyal Customer,37,Personal Travel,Eco,2330,5,5,5,5,5,5,4,0,0
satisfied,Female,Loyal Customer,30,Personal Travel,Eco,2153,1,1,1,4,5,5,3,1,0
satisfied,Female,Loyal Customer,62,Personal Travel,Eco,1231,2,2,2,5,5,5,4,16,0
dissatisfied,Male,Loyal Customer,65,Personal Travel,Eco,3113,3,3,4,3,4,3,3,113,132
dissatisfied,Male,Loyal Customer,23,Personal Travel,Eco,2932,3,3,4,3,3,2,3,0,2
dissatisfied,Male,Loyal Customer,59,Personal Travel,Eco,2004,3,3,4,3,4,2,4,8,1
dissatisfied,Male,Loyal Customer,13,Personal Travel,Eco,2568,3,3,4,3,4,3,4,0,9
dissatisfied,Male,Loyal Customer,19,Personal Travel,Eco,2332,3,3,4,3,4,4,4,0,0
dissatisfied,Male,Loyal Customer,61,Personal Travel,Eco,1995,3,3,4,3,1,2,1,0,0
dissatisfied,Male,Loyal Customer,19,Personal Travel,Eco,2935,3,3,4,3,5,2,5,16,10
satisfied,Female,Loyal Customer,13,Personal Travel,Eco,1938,2,2,2,4,5,5,3,3,0
dissatisfied,Male,Loyal Customer,32,Personal Travel,Eco,2949,3,3,4,3,5,4,5,0,0
dissatisfied,Male,Loyal Customer,44,Personal Travel,Eco,1978,3,3,4,3,2,4,2,0,0
dissatisfied,Male,Loyal Customer,69,Personal Travel,Eco,2298,3,3,4,3,4,4,4,13,0
satisfied,Female,Loyal Customer,26,Personal Travel,Eco,2037,2,2,2,5,5,4,5,0,11
dissatisfied,Male,Loyal Customer,48,Personal Travel,Eco,2240,3,3,4,3,2,3,2,12,0
satisfied,Female,Loyal Customer,10,Personal Travel,Eco,2093,2,2,2,4,5,5,5,0,0
satisfied,Female,Loyal Customer,23,Personal Travel,Eco,2869,3,3,3,4,5,5,5,0,0
dissatisfied,Male,Loyal Customer,11,Personal Travel,Eco,2011,3,3,4,3,5,3,5,0,7
dissatisfied,Male,Loyal Customer,61,Personal Travel,Eco,2307,3,3,4,3,2,4,2,0,0
satisfied,Female,Loyal Customer,31,Personal Travel,Eco,1993,2,2,2,5,5,1,5,0,0
dissatisfied,Male,Loyal Customer,53,Personal Travel,Eco,2579,3,3,4,3,4,4,4,38,
dissatisfied,Male,Loyal Customer,24,Personal Travel,Eco,2487,3,3,4,3,5,4,5,0,0
satisfied,Female,Loyal Customer,22,Personal Travel,Eco,2333,3,3,3,4,5,5,5,0,0
satisfied,Female,Loyal Customer,55,Personal Travel,Eco,1029,2,4,2,5,5,5,3,4,0
satisfied,Female,Loyal Customer,35,Personal Travel,Eco,2106,4,4,4,4,5,5,5,11,0
dissatisfied,Male,Loyal Customer,56,Personal Travel,Eco,2554,3,3,4,3,5,4,5,12,3
dissatisfied,Male,Loyal Customer,16,Personal Travel,Eco,2385,3,3,4,3,1,4,1,0,0
satisfied,Female,Loyal Customer,42,Personal Travel,Eco,976,2,2,2,4,5,5,5,21,13
dissatisfied,Male,Loyal Customer,36,Personal Travel,Eco,1642,3,3,4,3,3,3,3,0,0
dissatisfied,Male,Loyal Customer,17,Personal Travel,Eco,2562,3,3,4,5,3,3,5,118,134
satisfied,Female,Loyal Customer,49,Personal Travel,Eco,984,2,2,2,4,5,5,3,6,43
dissatisfied,Male,Loyal Customer,38,Personal Travel,Eco,2598,3,3,4,3,3,4,3,84,65
satisfied,Female,Loyal Customer,33,Personal Travel,Eco,2097,3,3,3,3,5,5,4,0,5
dissatisfied,Male,Loyal Customer,39,Personal Travel,Eco,2022,3,3,4,3,5,4,5,0,8
dissatisfied,Male,Loyal Customer,31,Personal Travel,Eco,2329,3,3,4,3,5,4,5,0,0
dissatisfied,Male,Loyal Customer,55,Personal Travel,Eco,2407,3,3,4,3,5,4,5,0,0
dissatisfied,Male,Loyal Customer,27,Personal Travel,Eco,2809,3,3,4,3,4,3,4,38,16
dissatisfied,Male,Loyal Customer,20,Personal Travel,Eco,2431,3,3,4,3,3,3,3,3,0
satisfied,Female,Loyal Customer,37,Personal Travel,Eco,1941,5,5,5,5,5,5,5,0,7
dissatisfied,Male,Loyal Customer,50,Personal Travel,Eco,2426,3,3,4,3,1,3,1,13,3
satisfied,Female,Loyal Customer,10,Personal Travel,Eco,1843,1,4,1,4,5,5,4,29,71
satisfied,Female,Loyal Customer,33,Personal Travel,Eco,2032,4,4,4,4,5,5,5,51,16
satisfied,Female,Loyal Customer,41,Personal Travel,Eco,1913,4,4,4,4,5,5,5,0,0
dissatisfied,Male,Loyal Customer,7,Personal Travel,Eco,2250,3,3,4,3,5,3,5,125,107
dissatisfied,Male,Loyal Customer,26,Personal Travel,Eco,1813,3,3,4,3,3,4,3,4,7
dissatisfied,Male,Loyal Customer,57,Personal Travel,Eco,2711,3,3,4,3,3,4,3,2,10
satisfied,Female,Loyal Customer,63,Personal Travel,Eco,913,5,1,1,3,5,5,2,7,0
dissatisfied,Male,Loyal Customer,25,Personal Travel,Eco,1832,3,3,4,3,1,3,1,0,0
dissatisfied,Male,Loyal Customer,39,Personal Travel,Eco,2445,3,3,4,3,5,4,5,0,13
dissatisfied,Male,Loyal Customer,45,Personal Travel,Eco,1694,3,3,4,3,3,3,3,40,41
satisfied,Female,Loyal Customer,61,Personal Travel,Eco,898,5,1,1,3,5,5,3,0,0
dissatisfied,Male,Loyal Customer,,Personal Travel,Eco,1640,3,3,4,3,5,4,5,0,0
satisfied,Female,Loyal Customer,25,Personal Travel,Eco,2206,5,3,3,3,5,5,2,3,0
satisfied,Female,Loyal Customer,45,Personal Travel,Eco,883,5,3,3,4,5,5,5,17,0
satisfied,Female,Loyal Customer,66,Personal Travel,Eco,889,5,2,2,1,5,5,4,34,42
satisfied,Female,Loyal Customer,27,Personal Travel,Eco,2450,5,5,5,1,5,5,5,0,0
satisfied,Female,Loyal Customer,34,Personal Travel,Eco,1906,5,1,1,5,5,5,5,0,0
satisfied,Female,Loyal Customer,7,Personal Travel,Eco,2243,5,1,1,1,5,5,4,0,0
satisfied,Female,Loyal Customer,42,Personal Travel,Eco,835,5,5,5,1,5,5,5,0,2
dissatisfied,Male,Loyal Customer,14,Personal Travel,Eco,2012,3,3,4,3,5,3,5,2,0
dissatisfied,Male,Loyal Customer,24,Personal Travel,Eco,2432,3,3,4,3,2,4,2,14,0
dissatisfied,Male,Loyal Customer,65,Personal Travel,Eco,2113,3,3,4,3,2,4,2,0,0
satisfied,Female,Loyal Customer,61,Personal Travel,Eco,826,3,3,3,4,5,5,5,9,23
dissatisfied,Male,Loyal Customer,8,Personal Travel,Eco,2292,3,3,4,3,5,4,5,0,0
satisfied,Female,Loyal Customer,56,Personal Travel,Eco,860,4,5,4,5,5,2,5,14,6
dissatisfied,Male,Loyal Customer,46,Personal Travel,Eco,2036,3,3,4,3,3,3,3,0,0
dissatisfied,Male,Loyal Customer,59,Personal Travel,Eco,2197,3,3,4,3,5,3,5,4,0
dissatisfied,Male,Loyal Customer,64,Personal Travel,Eco,2344,3,3,4,3,3,3,3,11,29
dissatisfied,Male,Loyal Customer,49,Personal Travel,Business,845,3,3,4,4,3,3,3,0,0
satisfied,Female,Loyal Customer,49,Personal Travel,Eco,806,2,3,2,4,5,5,4,0,0
dissatisfied,Male,Loyal Customer,40,Personal Travel,Eco,1875,3,3,4,3,5,4,5,0,0
satisfied,Female,Loyal Customer,19,Personal Travel,Business,2262,5,5,5,5,5,3,5,0,0
satisfied,Female,Loyal Customer,23,Personal Travel,Eco,2254,5,5,5,2,5,5,2,8,0
dissatisfied,Male,Loyal Customer,54,Personal Travel,Eco,1790,3,3,4,3,5,3,5,99,101
dissatisfied,Male,Loyal Customer,70,Personal Travel,Eco,2504,3,3,4,3,1,3,1,0,0
dissatisfied,Male,Loyal Customer,37,Personal Travel,Eco,1960,3,3,4,3,3,4,3,34,25
satisfied,Female,Loyal Customer,26,Personal Travel,Eco,2434,1,1,1,5,5,5,3,25,16
dissatisfied,Male,Loyal Customer,26,Personal Travel,Eco,2265,3,3,4,3,5,2,5,2,0
dissatisfied,Male,Loyal Customer,59,Personal Travel,Eco,1440,3,3,4,3,5,4,5,0,0
dissatisfied,Male,Loyal Customer,15,Personal Travel,Eco,1745,3,3,4,3,5,4,5,51,79
satisfied,Female,Loyal Customer,47,Personal Travel,Eco,723,1,1,1,5,5,5,5,23,29
satisfied,Female,Loyal Customer,53,Personal Travel,Eco,701,1,1,1,3,5,5,5,0,1
satisfied,Female,Loyal Customer,67,Personal Travel,Eco,695,4,4,4,5,5,1,5,0,0
dissatisfied,Male,Loyal Customer,27,Personal Travel,Eco,2073,3,3,4,3,3,4,3,0,0
satisfied,Female,Loyal Customer,50,Personal Travel,Eco,732,4,4,4,4,5,5,5,0,0
satisfied,Female,Loyal Customer,68,Personal Travel,Eco,681,2,2,2,5,5,5,3,20,82
satisfied,Female,Loyal Customer,36,Personal Travel,Eco,2139,1,5,1,5,5,4,5,0,0
satisfied,Female,Loyal Customer,49,Personal Travel,Eco,694,3,3,3,4,5,5,3,12,0
dissatisfied,Male,Loyal Customer,41,Personal Travel,Business,675,3,3,4,3,2,2,1,0,1
dissatisfied,Male,Loyal Customer,49,Personal Travel,Eco,2470,3,3,4,3,1,4,1,41,31
dissatisfied,Male,Loyal Customer,32,Personal Travel,Eco,1948,3,3,4,3,1,4,1,0,0
satisfied,Female,Loyal Customer,33,Personal Travel,Business,649,1,1,1,4,5,5,2,13,22
satisfied,Female,Loyal Customer,55,Personal Travel,Eco,682,3,3,3,5,5,4,5,0,3
dissatisfied,Male,Loyal Customer,54,Personal Travel,Eco,1890,3,3,4,3,3,3,3,3,4
dissatisfied,Male,Loyal Customer,7,Personal Travel,Eco,2380,3,3,4,3,1,4,1,18,0
satisfied,Female,Loyal Customer,63,Personal Travel,Business,667,4,4,4,5,5,5,3,17,0
satisfied,Female,Loyal Customer,36,Personal Travel,Eco,2225,5,4,4,2,5,5,5,0,0
dissatisfied,Male,Loyal Customer,43,Personal Travel,Eco,1941,3,3,4,3,4,4,4,16,2
dissatisfied,Male,Loyal Customer,20,Personal Travel,Eco,1675,3,3,4,3,3,3,3,1,0
dissatisfied,Male,Loyal Customer,56,Personal Travel,Business,619,3,3,4,4,1,1,2,24,5
satisfied,Female,Loyal Customer,7,Personal Travel,Eco,1776,5,2,2,4,5,5,2,0,4
dissatisfied,Male,Loyal Customer,41,Personal Travel,Business,612,3,3,4,4,4,4,2,0,0
dissatisfied,Male,Loyal Customer,66,Personal Travel,Eco,1619,3,3,4,3,3,4,3,0,0
dissatisfied,Male,Loyal Customer,69,Personal Travel,Eco,1968,3,3,4,3,5,2,5,0,0
dissatisfied,Male,Loyal Customer,51,Personal Travel,Eco,1679,3,3,4,3,2,4,2,0,38
dissatisfied,Male,Loyal Customer,63,Personal Travel,Eco,1999,3,3,4,3,5,4,5,13,3
dissatisfied,Male,Loyal Customer,31,Personal Travel,Eco,1830,3,3,4,3,3,4,3,2,0
dissatisfied,Male,Loyal Customer,25,Personal Travel,Eco,1712,3,3,4,3,4,3,4,34,22
dissatisfied,Male,Loyal Customer,65,Personal Travel,Eco,1758,3,3,4,3,4,3,4,23,34
satisfied,Female,Loyal Customer,46,Personal Travel,Eco,608,5,3,3,2,5,5,5,12,0
dissatisfied,Male,Loyal Customer,58,Personal Travel,Eco,1796,3,3,4,3,1,4,1,57,79
satisfied,Female,Loyal Customer,70,Personal Travel,Eco,625,5,3,3,1,5,5,5,6,7
dissatisfied,Male,Loyal Customer,42,Personal Travel,Eco,2241,3,3,4,3,5,3,5,1,0
satisfied,Female,Loyal Customer,22,Personal Travel,Eco,1813,5,5,5,4,5,5,3,35,26
satisfied,Female,Loyal Customer,64,Personal Travel,Eco,602,5,5,5,5,5,5,5,0,0
satisfied,Female,Loyal Customer,53,Personal Travel,Eco,559,2,2,2,5,5,5,5,0,0
satisfied,Female,Loyal Customer,12,Personal Travel,Eco,1636,4,2,4,5,5,4,5,77,75
satisfied,Female,Loyal Customer,34,Personal Travel,Eco,2345,1,5,1,5,5,5,4,0,1
dissatisfied,Male,Loyal Customer,13,Personal Travel,Eco,2277,3,3,4,3,2,4,2,0,0
dissatisfied,Male,Loyal Customer,29,Personal Travel,Eco,1834,3,3,4,3,2,4,2,0,0
satisfied,Female,Loyal Customer,54,Personal Travel,Eco,589,4,4,4,5,5,5,3,0,0
satisfied,Female,Loyal Customer,19,Personal Travel,Eco,2209,4,4,4,5,5,4,5,0,0
satisfied,Female,Loyal Customer,45,Personal Travel,Eco,576,2,2,2,4,5,5,5,0,0
satisfied,Female,Loyal Customer,7,Personal Travel,Eco,2047,5,5,5,2,5,5,5,28,28
dissatisfied,Male,Loyal Customer,39,Personal Travel,Business,562,3,3,4,4,5,5,3,5,0
dissatisfied,Male,Loyal Customer,69,Personal Travel,Eco,1949,3,3,4,3,5,4,5,0,0
dissatisfied,Male,Loyal Customer,42,Personal Travel,Eco,1720,3,3,4,3,5,4,5,12,9
dissatisfied,Male,Loyal Customer,48,Personal Travel,Eco,1290,3,3,4,3,2,4,2,0,0
satisfied,Female,Loyal Customer,30,Personal Travel,Eco,1865,4,4,4,5,5,5,4,0,0
satisfied,Female,Loyal Customer,62,Personal Travel,Eco,579,1,1,1,5,5,5,5,10,14
dissatisfied,Female,Loyal Customer,14,Personal Travel,Eco,2473,3,3,4,3,4,4,3,154,164
satisfied,Female,Loyal Customer,15,Personal Travel,Eco,1552,1,1,1,4,5,5,4,0,0
satisfied,Female,Loyal Customer,23,Personal Travel,Eco,2292,1,1,1,1,5,5,4,21,7
satisfied,Female,Loyal Customer,9,Personal Travel,Eco,1276,5,5,5,4,5,5,5,0,0
dissatisfied,Male,Loyal Customer,59,Personal Travel,Eco,1910,3,3,4,3,2,3,2,0,0
dissatisfied,Male,Loyal Customer,36,Personal Travel,Eco,1767,3,3,4,3,1,3,1,1,0
dissatisfied,Male,Loyal Customer,37,Personal Travel,Eco,1951,3,3,4,3,2,3,2,0,18
satisfied,Female,Loyal Customer,52,Personal Travel,Eco,510,3,3,3,5,5,5,5,0,0
dissatisfied,Male,Loyal Customer,30,Personal Travel,Eco,2215,3,3,4,3,5,3,5,0,13
dissatisfied,Male,Loyal Customer,70,Personal Travel,Eco,1339,3,3,4,3,5,4,5,0,0
dissatisfied,Male,Loyal Customer,70,Personal Travel,Eco,2082,3,3,4,3,3,4,3,0,0
dissatisfied,Male,Loyal Customer,52,Personal Travel,Business,539,3,3,,4,3,3,2,0,6
dissatisfied,Male,Loyal Customer,62,Personal Travel,Eco,1519,3,3,4,3,5,4,5,0,28
satisfied,Female,Loyal Customer,25,Personal Travel,Eco,1643,2,2,2,5,5,2,5,5,0
satisfied,Female,Loyal Customer,14,Personal Travel,Eco,1608,2,2,2,5,5,5,4,99,102
dissatisfied,Male,Loyal Customer,29,Personal Travel,Eco,1694,3,3,4,3,,3,5,0,13
satisfied,Female,Loyal Customer,39,Personal Travel,Eco,1958,5,3,5,5,5,5,3,7,0
dissatisfied,Male,Loyal Customer,61,Personal Travel,Eco,2060,3,3,4,3,1,4,1,31,21
satisfied,Female,Loyal Customer,29,Personal Travel,Eco,1429,5,5,5,4,5,5,5,0,0
dissatisfied,Male,Loyal Customer,21,Personal Travel,Eco,2145,3,3,4,3,1,4,1,0,0
dissatisfied,Male,Loyal Customer,44,Personal Travel,Eco,1327,3,3,4,3,3,3,3,112,114
satisfied,Female,Loyal Customer,62,Personal Travel,Eco,517,4,4,4,4,5,5,4,23,35
satisfied,Female,Loyal Customer,24,Personal Travel,Eco,1886,2,2,2,5,5,5,5,6,0
dissatisfied,Female,Loyal Customer,50,Personal Travel,Eco,2232,3,3,4,3,2,3,4,243,262
satisfied,Female,Loyal Customer,9,Personal Travel,Eco,2237,4,4,4,4,5,5,3,0,0
dissatisfied,Male,Loyal Customer,31,Personal Travel,Eco,1648,3,3,4,3,2,3,2,28,31
satisfied,Female,Loyal Customer,46,Personal Travel,Eco,479,4,4,4,1,5,5,3,0,0
dissatisfied,Male,Loyal Customer,9,Personal Travel,Business,1519,3,3,4,3,2,3,2,9,10
dissatisfied,Male,Loyal Customer,64,Personal Travel,Eco,1818,3,3,4,3,4,4,4,6,43
satisfied,Female,Loyal Customer,69,Personal Travel,Eco,472,2,2,2,5,5,5,5,0,0
dissatisfied,Male,Loyal Customer,58,Personal Travel,Business,458,3,3,4,3,3,5,3,38,37
dissatisfied,Male,Loyal Customer,48,Personal Travel,Eco,2014,3,,4,3,4,3,4,0,0
dissatisfied,Male,Loyal Customer,17,Personal Travel,Eco,2212,3,3,4,3,5,4,5,0,0
dissatisfied,Male,Loyal Customer,26,Personal Travel,Eco,1981,3,3,4,3,,3,5,56,85
satisfied,Female,Loyal Customer,23,Personal Travel,Eco,1618,5,4,4,2,5,5,3,0,8
dissatisfied,Male,Loyal Customer,9,Personal Travel,Eco,1092,3,3,4,3,3,2,3,0,0
dissatisfied,Male,Loyal Customer,7,Personal Travel,Eco,1417,3,3,4,3,1,2,1,5,51
satisfied,Female,Loyal Customer,67,Personal Travel,Eco,426,5,4,4,3,5,5,3,0,0
satisfied,Female,Loyal Customer,52,Personal Travel,Eco,474,5,5,5,4,5,5,4,0,0
dissatisfied,Male,Loyal Customer,9,Personal Travel,Eco,1570,3,3,4,3,2,4,2,42,69
satisfied,Female,Loyal Customer,15,Personal Travel,Business,1909,5,5,4,5,5,5,3,0,0
satisfied,Female,Loyal Customer,65,Personal Travel,Eco,429,5,4,4,5,5,5,5,88,88
satisfied,Female,Loyal Customer,46,Personal Travel,Eco,422,5,3,5,5,5,5,5,0,10
dissatisfied,Male,Loyal Customer,8,Personal Travel,Eco,2342,3,3,4,3,5,4,5,0,0
satisfied,Female,Loyal Customer,63,Personal Travel,Eco,432,3,3,3,5,5,4,5,19,23
satisfied,Female,Loyal Customer,47,Personal Travel,Eco,425,5,5,5,5,5,4,5,22,14
satisfied,Female,Loyal Customer,44,Personal Travel,Eco,447,4,4,4,4,5,5,5,7,5
dissatisfied,Male,Loyal Customer,7,Personal Travel,Eco,1507,3,3,4,3,2,4,2,12,0
dissatisfied,Male,Loyal Customer,22,Personal Travel,Eco,1816,3,3,4,3,1,4,1,2,0
dissatisfied,Male,Loyal Customer,58,Personal Travel,Eco,1912,3,3,4,3,2,4,2,0,0
dissatisfied,Male,Loyal Customer,25,Personal Travel,Eco,1975,3,3,4,3,1,3,1,0,0
satisfied,Female,Loyal Customer,57,Personal Travel,Eco,430,1,1,1,4,5,5,5,10,0
dissatisfied,Male,Loyal Customer,50,Personal Travel,Eco,1249,3,3,4,3,4,4,4,11,26
dissatisfied,Male,Loyal Customer,50,Personal Travel,Eco,1277,3,3,4,3,2,4,2,30,26
